sku,store_code,nickname,title,detail,rating,created_at
N-MONSTERA,garden,Ada,Healthy and well packed,Arrived upright with damp compost and no broken leaves.,5,2026-01-10 10:00:00
N-SNAKE-PLANT,garden,Dev,Smaller than expected,Healthy plant but a smaller pot than I thought. Check the pot size.,4,2026-04-10 10:00:00
N-SNAKE-PLANT,garden,Elena,Sharp and solid,The tool is heavy in a good way and came sharp.,5,2026-04-11 10:00:00
N-CALATHEA,garden,Greta,Replaced without fuss,"One plant failed. Photo sent, new one in three days.",5,2026-01-10 10:00:00
N-LAVENDER,garden,Jonas,Flowered in three weeks,"Planted it on a Sunday, first bud by month end.",5,2026-04-10 10:00:00
N-LAVENDER,garden,Kira,Terracotta is thick,"Proper fired clay, not the thin stuff. Survived a frost.",5,2026-04-11 10:00:00
N-JAPANESE-MAPLE,garden,Maya,Seeds all came up,"Twenty sown, nineteen seedlings. Cannot ask for more.",5,2026-01-10 10:00:00
N-HOSTA,garden,Priya,Soil was dry on arrival,"Plant bounced back after a soak, but the box sat somewhere warm.",3,2026-04-10 10:00:00
N-HOSTA,garden,Quinn,Handle fits the hand,"Ash handle, no blisters after an afternoon of digging.",5,2026-04-11 10:00:00
N-BEAN-SEED,garden,Ada,Bees love it,Covered in bees within a week of planting.,5,2026-01-10 10:00:00
N-WILDFLOWER,garden,Dev,Wrong colour,"Ordered white, got pink. Beautiful, but not what I ordered. Refund given.",3,2026-04-10 10:00:00
N-WILDFLOWER,garden,Elena,Hardy as promised,Left out all winter in a pot and it came back.,5,2026-04-11 10:00:00
N-GARLIC,garden,Greta,Good starter set,Everything a first garden needs and nothing it does not.,5,2026-01-10 10:00:00
N-ZINC-PLANTER,garden,Jonas,Watering can pours well,"Long spout, fine rose, no dribble down the side.",5,2026-04-10 10:00:00
N-ZINC-PLANTER,garden,Kira,Delivery was gentle,The courier carried it upright. The driver deserves the credit.,5,2026-04-11 10:00:00
N-RAISED-BED,garden,Maya,Herbs on the sill,Six pots on the kitchen sill and I have not bought parsley since.,5,2026-01-10 10:00:00
N-FORK,garden,Priya,Compost smells right,Dark and crumbly. My tomatoes doubled in a month.,5,2026-04-10 10:00:00
N-FORK,garden,Quinn,Pot has no drainage hole,Lovely glaze but no hole. Drill it or use it indoors with gravel.,3,2026-04-11 10:00:00
N-WATERING-CAN,garden,Ada,Pruners cut clean,"Bypass blades, no crushing. Roses thanked me.",5,2026-01-10 10:00:00
N-KNEELER,garden,Dev,Bigger than the photo,"A three year old plant, not a plug. Delighted.",5,2026-04-10 10:00:00
N-KNEELER,garden,Elena,Label was helpful,"Planting depth, spacing and sun on the tag. Saved a search.",4,2026-04-11 10:00:00
N-BISTRO-SET,garden,Greta,Gloves are tough,Thorns did not get through. Fit is snug.,5,2026-01-10 10:00:00
N-FIRE-BOWL,garden,Jonas,Slow to establish,Took a full season to settle. Now it is the best thing in the border.,4,2026-04-10 10:00:00
N-FIRE-BOWL,garden,Kira,Bulbs came in paper,No plastic in the box at all. Every bulb sprouted.,5,2026-04-11 10:00:00
N-SHADE-SET,garden,Maya,Trellis went up in an hour,"Cedar, pre-drilled, and the screws were in the box.",5,2026-01-10 10:00:00
